市場,銘柄コード,現在値,RSI14,PER,PBR,ROE(%),売上成長(%),粗利率(%),マッチ戦略数,マッチ戦略,戦略
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,B-2_EPS加速粗利拡大
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,B-3_売上加速FCF改善
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,C-3_EV収益改善
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,F-1_AIデータインフラ
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,H-3_テーマ成長加速
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,I-1_高ROIC
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,I-2_ターンアラウンド
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,B-1_RuleOf40
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,B-2_EPS加速粗利拡大
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,B-3_売上加速FCF改善
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,C-3_EV収益改善
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,D-3_自社株買モメンタム
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-1_高ROIC
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
US,LRCX,238.8,58.3,48.9,29.45,65.6,22.1,49.8,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-3_自社株買モメンタム | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,B-3_売上加速FCF改善
JP,7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,F-2_サイバーセキュリティ
JP,7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,H-1_グロースモメンタム
JP,7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,H-3_テーマ成長加速
JP,7716.T,2773.0,60.4,,2.02,-2.0,9.8,56.7,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,I-2_ターンアラウンド
JP,8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド | I-4_高配当成長,B-3_売上加速FCF改善
JP,8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド | I-4_高配当成長,C-3_EV収益改善
JP,8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド | I-4_高配当成長,H-3_テーマ成長加速
JP,8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
JP,8058.T,5426.0,59.4,31.0,2.21,8.5,9.9,8.5,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,9270.T,1757.0,49.8,32.5,2.71,25.0,30.3,25.7,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | I-2_ターンアラウンド,B-2_EPS加速粗利拡大
JP,9270.T,1757.0,49.8,32.5,2.71,25.0,30.3,25.7,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | I-2_ターンアラウンド,B-3_売上加速FCF改善
JP,9270.T,1757.0,49.8,32.5,2.71,25.0,30.3,25.7,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | I-2_ターンアラウンド,C-3_EV収益改善
JP,9270.T,1757.0,49.8,32.5,2.71,25.0,30.3,25.7,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | I-2_ターンアラウンド,E-1_MACDダイバージェンス
JP,9270.T,1757.0,49.8,32.5,2.71,25.0,30.3,25.7,5,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | I-2_ターンアラウンド,I-2_ターンアラウンド
US,MRVL,92.4,60.8,30.1,5.47,19.3,22.1,51.0,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド,B-1_RuleOf40
US,MRVL,92.4,60.8,30.1,5.47,19.3,22.1,51.0,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド,B-2_EPS加速粗利拡大
US,MRVL,92.4,60.8,30.1,5.47,19.3,22.1,51.0,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド,B-3_売上加速FCF改善
US,MRVL,92.4,60.8,30.1,5.47,19.3,22.1,51.0,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド,I-1_高ROIC
US,MRVL,92.4,60.8,30.1,5.47,19.3,22.1,51.0,5,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | I-1_高ROIC | I-2_ターンアラウンド,I-2_ターンアラウンド
JP,4751.T,1370.5,51.0,23.3,3.73,20.1,14.0,31.6,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,B-2_EPS加速粗利拡大
JP,4751.T,1370.5,51.0,23.3,3.73,20.1,14.0,31.6,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,C-3_EV収益改善
JP,4751.T,1370.5,51.0,23.3,3.73,20.1,14.0,31.6,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
JP,4751.T,1370.5,51.0,23.3,3.73,20.1,14.0,31.6,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,7453.T,3370.0,42.7,35.2,4.87,16.8,15.4,51.7,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,B-2_EPS加速粗利拡大
JP,7453.T,3370.0,42.7,35.2,4.87,16.8,15.4,51.7,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,C-3_EV収益改善
JP,7453.T,3370.0,42.7,35.2,4.87,16.8,15.4,51.7,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
JP,7453.T,3370.0,42.7,35.2,4.87,16.8,15.4,51.7,4,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,7741.T,28235.0,55.3,46.5,9.29,24.2,10.5,34.1,4,B-1_RuleOf40 | B-3_売上加速FCF改善 | I-1_高ROIC | I-4_高配当成長,B-1_RuleOf40
JP,7741.T,28235.0,55.3,46.5,9.29,24.2,10.5,34.1,4,B-1_RuleOf40 | B-3_売上加速FCF改善 | I-1_高ROIC | I-4_高配当成長,B-3_売上加速FCF改善
JP,7741.T,28235.0,55.3,46.5,9.29,24.2,10.5,34.1,4,B-1_RuleOf40 | B-3_売上加速FCF改善 | I-1_高ROIC | I-4_高配当成長,I-1_高ROIC
JP,7741.T,28235.0,55.3,46.5,9.29,24.2,10.5,34.1,4,B-1_RuleOf40 | B-3_売上加速FCF改善 | I-1_高ROIC | I-4_高配当成長,I-4_高配当成長
US,ARM,135.0,63.7,179.9,18.38,11.3,26.3,97.5,4,B-1_RuleOf40 | C-3_EV収益改善 | F-3_バイオヘルステック | I-2_ターンアラウンド,B-1_RuleOf40
US,ARM,135.0,63.7,179.9,18.38,11.3,26.3,97.5,4,B-1_RuleOf40 | C-3_EV収益改善 | F-3_バイオヘルステック | I-2_ターンアラウンド,C-3_EV収益改善
US,ARM,135.0,63.7,179.9,18.38,11.3,26.3,97.5,4,B-1_RuleOf40 | C-3_EV収益改善 | F-3_バイオヘルステック | I-2_ターンアラウンド,F-3_バイオヘルステック
US,ARM,135.0,63.7,179.9,18.38,11.3,26.3,97.5,4,B-1_RuleOf40 | C-3_EV収益改善 | F-3_バイオヘルステック | I-2_ターンアラウンド,I-2_ターンアラウンド
US,KLAC,1566.2,61.2,45.6,37.58,100.7,7.2,61.6,4,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-2_ターンアラウンド | I-4_高配当成長,B-2_EPS加速粗利拡大
US,KLAC,1566.2,61.2,45.6,37.58,100.7,7.2,61.6,4,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-2_ターンアラウンド | I-4_高配当成長,D-3_自社株買モメンタム
US,KLAC,1566.2,61.2,45.6,37.58,100.7,7.2,61.6,4,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
US,KLAC,1566.2,61.2,45.6,37.58,100.7,7.2,61.6,4,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,4385.T,3538.0,54.1,20.4,5.26,30.6,15.4,73.0,3,B-3_売上加速FCF改善 | F-1_AIデータインフラ | F-2_サイバーセキュリティ,B-3_売上加速FCF改善
JP,4385.T,3538.0,54.1,20.4,5.26,30.6,15.4,73.0,3,B-3_売上加速FCF改善 | F-1_AIデータインフラ | F-2_サイバーセキュリティ,F-1_AIデータインフラ
JP,4385.T,3538.0,54.1,20.4,5.26,30.6,15.4,73.0,3,B-3_売上加速FCF改善 | F-1_AIデータインフラ | F-2_サイバーセキュリティ,F-2_サイバーセキュリティ
US,AMAT,374.0,61.3,38.4,13.67,38.9,-2.1,48.7,3,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-1_高ROIC,B-2_EPS加速粗利拡大
US,AMAT,374.0,61.3,38.4,13.67,38.9,-2.1,48.7,3,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-1_高ROIC,D-3_自社株買モメンタム
US,AMAT,374.0,61.3,38.4,13.67,38.9,-2.1,48.7,3,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム | I-1_高ROIC,I-1_高ROIC
US,PLTR,154.8,53.9,245.7,50.11,26.0,70.0,82.4,3,B-1_RuleOf40 | E-1_MACDダイバージェンス | I-1_高ROIC,B-1_RuleOf40
US,PLTR,154.8,53.9,245.7,50.11,26.0,70.0,82.4,3,B-1_RuleOf40 | E-1_MACDダイバージェンス | I-1_高ROIC,E-1_MACDダイバージェンス
US,PLTR,154.8,53.9,245.7,50.11,26.0,70.0,82.4,3,B-1_RuleOf40 | E-1_MACDダイバージェンス | I-1_高ROIC,I-1_高ROIC
JP,3048.T,1725.0,48.4,16.9,1.73,11.0,6.5,26.8,2,H-4_安定ディフェンシブ | I-4_高配当成長,H-4_安定ディフェンシブ
JP,3048.T,1725.0,48.4,16.9,1.73,11.0,6.5,26.8,2,H-4_安定ディフェンシブ | I-4_高配当成長,I-4_高配当成長
JP,9433.T,2677.5,52.2,14.8,2.05,14.2,4.1,42.0,2,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム,B-2_EPS加速粗利拡大
JP,9433.T,2677.5,52.2,14.8,2.05,14.2,4.1,42.0,2,B-2_EPS加速粗利拡大 | D-3_自社株買モメンタム,D-3_自社株買モメンタム
US,CAVA,84.4,57.4,156.4,12.58,8.6,20.9,37.4,2,B-3_売上加速FCF改善 | H-3_テーマ成長加速,B-3_売上加速FCF改善
US,CAVA,84.4,57.4,156.4,12.58,8.6,20.9,37.4,2,B-3_売上加速FCF改善 | H-3_テーマ成長加速,H-3_テーマ成長加速
JP,2782.T,4060.0,47.2,25.3,3.2,12.4,6.8,41.6,1,I-4_高配当成長,I-4_高配当成長
JP,3197.T,3388.0,47.3,46.1,4.11,9.3,11.0,66.7,1,B-3_売上加速FCF改善,B-3_売上加速FCF改善
JP,3436.T,1639.5,49.9,,0.99,-1.5,5.3,13.3,1,I-4_高配当成長,I-4_高配当成長
JP,4063.T,6060.0,50.1,23.5,2.63,11.5,-2.1,35.2,1,B-2_EPS加速粗利拡大,B-2_EPS加速粗利拡大
JP,4371.T,983.0,37.2,11.6,3.15,32.5,12.4,27.2,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
JP,7203.T,3271.0,37.3,11.5,1.09,10.0,8.6,17.6,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
JP,8031.T,6147.0,56.3,19.5,2.08,10.8,-1.5,9.3,1,D-3_自社株買モメンタム,D-3_自社株買モメンタム
JP,8802.T,4476.0,42.9,28.2,2.14,9.4,14.8,26.4,1,I-4_高配当成長,I-4_高配当成長
JP,9983.T,61860.0,40.3,43.9,7.58,20.0,14.8,54.0,1,I-4_高配当成長,I-4_高配当成長
JP,9984.T,3530.0,41.1,6.6,1.3,26.0,8.2,51.6,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
US,AAPL,251.6,40.9,31.9,41.95,152.0,15.7,47.3,1,H-4_安定ディフェンシブ,H-4_安定ディフェンシブ
US,ABNB,130.0,49.6,32.3,9.54,30.2,12.0,83.0,1,H-4_安定ディフェンシブ,H-4_安定ディフェンシブ
US,AMD,205.4,51.2,78.7,5.31,7.1,34.1,52.5,1,B-3_売上加速FCF改善,B-3_売上加速FCF改善
US,ANET,130.8,46.0,47.7,13.29,31.4,28.9,64.1,1,B-3_売上加速FCF改善,B-3_売上加速FCF改善
US,JNJ,235.3,42.2,21.3,6.95,35.0,9.1,68.1,1,I-4_高配当成長,I-4_高配当成長
US,LLY,903.0,30.7,39.3,30.45,101.2,42.6,83.0,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
US,MELI,1612.0,32.4,41.0,12.11,36.0,44.6,50.7,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
US,MPWR,1101.6,51.2,86.0,15.19,19.2,20.8,55.2,1,B-3_売上加速FCF改善,B-3_売上加速FCF改善
US,MSFT,372.7,28.5,23.3,7.08,34.4,16.7,68.6,1,E-1_MACDダイバージェンス,E-1_MACDダイバージェンス
US,MU,395.5,45.6,18.7,6.16,39.8,196.3,58.4,1,B-3_売上加速FCF改善,B-3_売上加速FCF改善
US,NET,213.1,57.9,,51.4,-8.2,33.6,74.5,1,F-2_サイバーセキュリティ,F-2_サイバーセキュリティ
